"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"APP自动化测试","设置风扇档","","0","0","42","0","0"
"APP自动化测试","开启夜灯","","0","0","42","0","0"
"APP自动化测试","退出设备详情页","","0","0","42","0","0"
"APP自动化测试","进入设备详情页","","0","0","43","0","0"
"APP自动化测试","开启摇头","","0","0","42","0","0"
"APP自动化测试","设置低档","","0","0","42","0","0"
"APP自动化测试","设置自动档","","0","0","42","0","0"
"APP自动化测试","开启童锁","","0","0","42","0","0"
"APP自动化测试","关机","","0","0","42","0","0"
"APP自动化测试","关闭显示","","0","0","42","0","0"
"APP自动化测试","关闭摇头","","0","0","42","0","0"
"APP自动化测试","关闭夜灯","","0","0","42","0","0"
"APP自动化测试","开启显示","","0","0","42","0","0"
"APP自动化测试","设置中档","","0","0","42","0","0"
"APP自动化测试","开机","","0","0","42","0","0"
"APP自动化测试","设置高档","","0","0","42","0","0"
"APP自动化测试","关闭童锁","","0","0","42","0","0"
